District,year,season,temperature_2m_mean,rain_sum
BULDHANA,2000,Rabi,22.663063,7.8
BULDHANA,2000,Summer,30.997032,68.1
BULDHANA,2001,Autumn,23.841677,52.500004
BULDHANA,2001,Kharif,25.80179,175.65001
BULDHANA,2001,Rabi,23.842958,1.65
BULDHANA,2001,Summer,31.835938,6.15
BULDHANA,2002,Autumn,23.98189,38.15
BULDHANA,2002,Kharif,25.806593,249.875
BULDHANA,2002,Rabi,23.641523,4.4
BULDHANA,2002,Summer,32.405838,3.5500002
BULDHANA,2003,Autumn,24.136028,5.25
BULDHANA,2003,Kharif,25.639313,225.15001
BULDHANA,2003,Rabi,23.582315,8.075
BULDHANA,2003,Summer,32.016773,9.15
BULDHANA,2004,Autumn,23.43607,35.9
BULDHANA,2004,Kharif,25.820759,167.175
BULDHANA,2004,Rabi,24.124647,3.275
BULDHANA,2004,Summer,32.242966,4.55
BULDHANA,2005,Autumn,23.022606,36.199997
BULDHANA,2005,Kharif,26.411175,170.95
BULDHANA,2005,Rabi,23.114254,11.65
BULDHANA,2005,Summer,32.197384,4.3
BULDHANA,2006,Autumn,23.94786,18.4
BULDHANA,2006,Kharif,25.822063,255.025
BULDHANA,2006,Rabi,23.747307,28.1
BULDHANA,2006,Summer,31.5094,9.75
BULDHANA,2007,Autumn,23.862648,4.65
BULDHANA,2007,Kharif,26.11428,236.75
BULDHANA,2007,Rabi,24.110886,0.45000002
BULDHANA,2007,Summer,32.165134,3.25
BULDHANA,2008,Autumn,24.259237,43
BULDHANA,2008,Kharif,25.762877,209.775
BULDHANA,2008,Rabi,23.546461,4.4999995
BULDHANA,2008,Summer,31.577412,2.8500001
BULDHANA,2009,Autumn,23.47466,95.44999
BULDHANA,2009,Kharif,26.806496,208.225
BULDHANA,2009,Rabi,24.859028,3.575
BULDHANA,2009,Summer,32.400723,2.15
BULDHANA,2010,Autumn,24.68031,76.3
BULDHANA,2010,Kharif,26.334236,258.575
BULDHANA,2010,Rabi,23.671726,4.325
BULDHANA,2010,Summer,33.48092,1.75
BULDHANA,2011,Autumn,25.04591,2.65
BULDHANA,2011,Kharif,25.624903,210.55
BULDHANA,2011,Rabi,23.542929,0.77500004
BULDHANA,2011,Summer,31.720152,5.1
BULDHANA,2012,Autumn,23.665241,22.849998
BULDHANA,2012,Kharif,26.115356,198.9
BULDHANA,2012,Rabi,23.525925,0.17500001
BULDHANA,2012,Summer,32.132072,3.3000002
BULDHANA,2013,Autumn,23.216682,42.7
BULDHANA,2013,Kharif,24.679268,322.55002
BULDHANA,2013,Rabi,23.501213,3.375
BULDHANA,2013,Summer,32.306156,2.3500001
BULDHANA,2014,Autumn,24.842592,29.45
BULDHANA,2014,Kharif,27.01527,165.325
BULDHANA,2014,Rabi,22.266396,29.925
BULDHANA,2014,Summer,31.865318,5.05
BULDHANA,2015,Autumn,26.398193,8.75
BULDHANA,2015,Kharif,26.632063,130.79999
BULDHANA,2015,Rabi,23.09604,15.575001
BULDHANA,2015,Summer,31.580921,29
BULDHANA,2016,Autumn,23.183537,21.150002
BULDHANA,2016,Kharif,25.94508,243.35
BULDHANA,2016,Rabi,24.822237,6.525
BULDHANA,2016,Summer,33.320618,5.1
BULDHANA,2017,Autumn,25.068203,38.8
BULDHANA,2017,Kharif,26.308676,143.15
BULDHANA,2017,Rabi,24.152657,0.77500004
BULDHANA,2017,Summer,32.673542,5.8500004
BULDHANA,2018,Autumn,26.04284,4
BULDHANA,2018,Kharif,26.086273,185.525
BULDHANA,2018,Rabi,24.11628,6.0750003
BULDHANA,2018,Summer,33.225132,3.7
BULDHANA,2019,Autumn,23.6543,97.15
BULDHANA,2019,Kharif,26.756891,248.25
BULDHANA,2019,Rabi,23.600307,5.425
BULDHANA,2019,Summer,33.27925,0.1
CHANDRAPUR,1997,Autumn,25.258347,57.2
CHANDRAPUR,1997,Kharif,28.087387,216.72499
CHANDRAPUR,1997,Rabi,23.781105,27.55
CHANDRAPUR,1997,Summer,32.525547,15.150001
CHANDRAPUR,1998,Autumn,24.806728,66.7
CHANDRAPUR,1998,Kharif,28.390335,225.20001
CHANDRAPUR,1998,Rabi,23.395298,17.6
CHANDRAPUR,1998,Summer,34.96086,6.7000003
CHANDRAPUR,1999,Autumn,24.746605,19.15
CHANDRAPUR,1999,Kharif,26.816593,331.2
CHANDRAPUR,1999,Rabi,24.850428,1.925
CHANDRAPUR,1999,Summer,34.760376,13.95
CHANDRAPUR,2000,Autumn,26.823565,0.7
CHANDRAPUR,2000,Kharif,27.115528,275.8
CHANDRAPUR,2000,Rabi,24.209845,10.474999
CHANDRAPUR,2000,Summer,34.303944,28.8
CHANDRAPUR,2001,Autumn,25.717484,39.1
